"treatment","full.treatment.name","plot","type","ave.mass","c.g.m2","n.g.m2"
"A","Balled-and-burlapped",1,"Herbaceous.biomass",50.2666666666667,18.03568,1.62864
"A","Balled-and-burlapped",2,"Herbaceous.biomass",171.444444444445,64.0691266666667,5.70208666666667
"A","Balled-and-burlapped",3,"Herbaceous.biomass",58.8666666666667,24.7361,1.93367333333333
"B","Bareroot",1,"Herbaceous.biomass",346.488888888889,134.995673333333,10.6724111111111
"B","Bareroot",2,"Herbaceous.biomass",4.48888888888889,1.81007111111111,0.197702222222222
"B","Bareroot",3,"Herbaceous.biomass",66.7777777777777,28.0234111111112,1.26673333333334
"C","Seedling",1,"Herbaceous.biomass",50.8888888888888,18.7830888888889,1.70477777777778
"C","Seedling",2,"Herbaceous.biomass",60.8888888888888,26.8893888888889,1.07445111111111
"C","Seedling",3,"Herbaceous.biomass",13.0444444444444,5.30387111111111,0.301326666666667
"D","Acorn",1,"Herbaceous.biomass",144.533333333333,60.4708800000001,2.92531333333334
"D","Acorn",2,"Herbaceous.biomass",175,67.0640133333333,4.87214
"D","Acorn",3,"Herbaceous.biomass",14.5333333333333,5.73195555555556,0.373937777777778
"E","Seedbank",1,"Herbaceous.biomass",607.444444444445,275.919006666667,18.4815688888889
"E","Seedbank",2,"Herbaceous.biomass",356.955555555556,136.072275555556,9.26955333333333
"E","Seedbank",3,"Herbaceous.biomass",210.8,86.1565555555556,5.52682666666667
"R","Reference",1,"Herbaceous.biomass",174.888888888889,67.6120444444445,5.84128888888889
"R","Reference",2,"Herbaceous.biomass",212.266666666667,83.3358933333334,5.90101333333333
"R","Reference",3,"Herbaceous.biomass",90.4888888888888,38.9373688888888,2.29841777777777
"A","Balled-and-burlapped",1,"Mixed.species",50.2666666666667,18.03568,1.62864
"A","Balled-and-burlapped",1,"Phalaris.arundinacea",0,0,0
"A","Balled-and-burlapped",1,"Humulus.japonicus",0,0,0
"A","Balled-and-burlapped",2,"Mixed.species",42.7333333333333,16.96086,1.02987333333333
"A","Balled-and-burlapped",2,"Phalaris.arundinacea",0,0,0
"A","Balled-and-burlapped",2,"Humulus.japonicus",128.711111111111,47.1082666666667,4.67221333333333
"A","Balled-and-burlapped",3,"Mixed.species",45.8666666666667,19.8832,1.45397333333333
"A","Balled-and-burlapped",3,"Phalaris.arundinacea",0,0,0
"A","Balled-and-burlapped",3,"Humulus.japonicus",13,4.8529,0.4797
"B","Bareroot",1,"Mixed.species",183.955555555556,77.7948044444445,5.48187555555556
"B","Bareroot",1,"Phalaris.arundinacea",9.08888888888888,3.84823555555555,0.203591111111111
"B","Bareroot",1,"Humulus.japonicus",153.444444444445,53.3526333333334,4.98694444444445
"B","Bareroot",2,"Mixed.species",3.93333333333333,1.61896,0.180146666666667
"B","Bareroot",2,"Phalaris.arundinacea",0,0,0
"B","Bareroot",2,"Humulus.japonicus",0.555555555555556,0.191111111111111,0.0175555555555556
"B","Bareroot",3,"Mixed.species",25.0000000000001,10.4475,0.615000000000002
"B","Bareroot",3,"Phalaris.arundinacea",41.7777777777778,17.5759111111111,0.651733333333334
"B","Bareroot",3,"Humulus.japonicus",0,0,0
"C","Seedling",1,"Mixed.species",50.8888888888888,18.7830888888889,1.70477777777778
"C","Seedling",1,"Phalaris.arundinacea",0,0,0
"C","Seedling",1,"Humulus.japonicus",0,0,0
"C","Seedling",2,"Mixed.species",55.5777777777777,24.6820911111111,0.933706666666665
"C","Seedling",2,"Phalaris.arundinacea",0,0,0
"C","Seedling",2,"Humulus.japonicus",5.31111111111112,2.20729777777778,0.140744444444445
"C","Seedling",3,"Mixed.species",13.0444444444444,5.30387111111111,0.301326666666667
"C","Seedling",3,"Phalaris.arundinacea",0,0,0
"C","Seedling",3,"Humulus.japonicus",0,0,0
"D","Acorn",1,"Mixed.species",134.866666666667,56.6574866666667,2.60292666666667
"D","Acorn",1,"Phalaris.arundinacea",4.84444444444444,1.99300444444444,0.162288888888889
"D","Acorn",1,"Humulus.japonicus",4.82222222222222,1.82038888888889,0.160097777777778
"D","Acorn",2,"Mixed.species",35.9333333333333,14.6967333333333,1.26126
"D","Acorn",2,"Phalaris.arundinacea",6.68888888888888,2.77856444444444,0.089631111111111
"D","Acorn",2,"Humulus.japonicus",132.377777777778,49.5887155555555,3.52124888888889
"D","Acorn",3,"Mixed.species",1.11111111111111,0.436888888888888,0.0477777777777777
"D","Acorn",3,"Phalaris.arundinacea",13.4222222222222,5.29506666666667,0.32616
"D","Acorn",3,"Humulus.japonicus",0,0,0
"E","Seedbank",1,"Mixed.species",8.08888888888888,3.16760888888888,0.308995555555555
"E","Seedbank",1,"Phalaris.arundinacea",327.377777777778,172.3644,8.54456
"E","Seedbank",1,"Humulus.japonicus",271.977777777778,100.386997777778,9.62801333333334
"E","Seedbank",2,"Mixed.species",31.8444444444444,11.6136688888889,1.0031
"E","Seedbank",2,"Phalaris.arundinacea",167.177777777778,68.9608333333334,3.25996666666667
"E","Seedbank",2,"Humulus.japonicus",157.933333333333,55.4977733333334,5.00648666666667
"E","Seedbank",3,"Mixed.species",53.5333333333334,22.7034866666667,1.16167333333333
"E","Seedbank",3,"Phalaris.arundinacea",71.6222222222222,30.1887666666667,2.06988222222222
"E","Seedbank",3,"Humulus.japonicus",85.6444444444444,33.2643022222222,2.29527111111111
"R","Reference",1,"Mixed.species",174.888888888889,67.6120444444445,5.84128888888889
"R","Reference",1,"Phalaris.arundinacea",0,0,0
"R","Reference",1,"Humulus.japonicus",0,0,0
"R","Reference",2,"Mixed.species",212.266666666667,83.3358933333334,5.90101333333333
"R","Reference",2,"Phalaris.arundinacea",0,0,0
"R","Reference",2,"Humulus.japonicus",0,0,0
"R","Reference",3,"Mixed.species",90.4888888888888,38.9373688888888,2.29841777777777
"R","Reference",3,"Phalaris.arundinacea",0,0,0
"R","Reference",3,"Humulus.japonicus",0,0,0
"A","Balled-and-burlapped",1,"Herbaceous.litter",482.955555555556,194.099837777778,10.9147955555556
"A","Balled-and-burlapped",2,"Herbaceous.litter",567.155555555555,189.600102222222,12.1938444444444
"A","Balled-and-burlapped",3,"Herbaceous.litter",546.355555555556,197.889982222222,12.5115422222222
"B","Bareroot",1,"Herbaceous.litter",761.688888888889,275.731377777778,16.3001422222222
"B","Bareroot",2,"Herbaceous.litter",473.466666666667,157.617053333333,8.56974666666667
"B","Bareroot",3,"Herbaceous.litter",391.577777777778,143.395782222222,7.67492444444444
"C","Seedling",1,"Herbaceous.litter",400.2,157.2786,9.0045
"C","Seedling",2,"Herbaceous.litter",504.711111111111,177.456426666667,9.43809777777778
"C","Seedling",3,"Herbaceous.litter",569.711111111112,219.794546666667,12.4197022222222
"D","Acorn",1,"Herbaceous.litter",354.711111111111,122.091564444444,7.02328
"D","Acorn",2,"Herbaceous.litter",536.111111111111,184.958333333333,11.2583333333333
"D","Acorn",3,"Herbaceous.litter",907.911111111111,295.434275555556,17.6134755555556
"E","Seedbank",1,"Herbaceous.litter",211.511111111112,80.1415600000003,4.94936000000002
"E","Seedbank",2,"Herbaceous.litter",807.488888888889,244.346137777778,14.2118044444444
"E","Seedbank",3,"Herbaceous.litter",1600.51111111111,519.045753333334,28.9692511111111
"R","Reference",1,"Herbaceous.litter",367.155555555555,133.718053333333,6.13149777777776
"R","Reference",2,"Herbaceous.litter",314.266666666667,119.609893333333,6.22248
"R","Reference",3,"Herbaceous.litter",298.533333333333,114.129293333333,5.91096
"A","Balled-and-burlapped",1,"Fine.woody.debris",329.8,159.52426,3.85866
"A","Balled-and-burlapped",2,"Fine.woody.debris",132.422222222222,63.0991888888889,0.993166666666666
"A","Balled-and-burlapped",3,"Fine.woody.debris",367.577777777777,177.65034,3.08765333333333
"B","Bareroot",1,"Fine.woody.debris",655.955555555556,359.988408888889,8.00265777777779
"B","Bareroot",2,"Fine.woody.debris",878.666666666668,430.283066666667,7.38080000000001
"B","Bareroot",3,"Fine.woody.debris",1043.08888888889,507.358435555555,8.03178444444444
"C","Seedling",1,"Fine.woody.debris",64.3111111111111,30.9207822222222,0.913217777777778
"C","Seedling",2,"Fine.woody.debris",562.111111111112,279.594066666667,5.67732222222223
"C","Seedling",3,"Fine.woody.debris",914.933333333333,440.723386666666,10.7962133333333
"D","Acorn",1,"Fine.woody.debris",22.2222222222222,10.9733333333333,0.244444444444444
"D","Acorn",2,"Fine.woody.debris",22.6888888888888,10.9405822222222,0.231426666666666
"D","Acorn",3,"Fine.woody.debris",31.9111111111111,15.0077955555556,0.341448888888889
"E","Seedbank",1,"Fine.woody.debris",0,0,0
"E","Seedbank",2,"Fine.woody.debris",25.6888888888889,12.4205777777778,0.290284444444444
"E","Seedbank",3,"Fine.woody.debris",170.2,75.70496,2.51896
"R","Reference",1,"Fine.woody.debris",1206.33333333334,585.795466666668,12.4252333333334
"R","Reference",2,"Fine.woody.debris",925.288888888888,445.896715555555,11.7511688888889
"R","Reference",3,"Fine.woody.debris",142.333333333333,66.0284333333334,1.76493333333333
